time,V(vin_12v),V(vsense_adc),V(vsense_raw)
8.331071992655067e-04,9.997286391186080e+00,6.600525684428410e-01,7.258820896206915e-01
8.431071992655067e-04,1.011728639118608e+01,6.741135745827156e-01,7.404575111196874e-01
8.531071992655067e-04,1.023728639118608e+01,6.882835102093647e-01,7.551369685628966e-01
8.631071992655068e-04,1.035728639118608e+01,7.025613390957977e-01,7.699194722747357e-01
8.731071992655068e-04,1.047728639118608e+01,7.169460348724677e-01,7.848040419942295e-01
8.831071992655068e-04,1.059728639118608e+01,7.314365809335007e-01,7.997897067854531e-01
8.931071992655068e-04,1.071728639118608e+01,7.460319703438155e-01,8.148755049488241e-01
9.031071992655069e-04,1.083728639118608e+01,7.607312057471259e-01,8.300604839332381e-01
9.131071992655069e-04,1.095728639118608e+01,7.755332992748207e-01,8.453437002490414e-01
9.231071992655069e-04,1.107728639118608e+01,7.904372724557081e-01,8.607242193818309e-01
9.331071992655069e-04,1.119728639118608e+01,8.054421561266204e-01,8.762011157070743e-01
9.431071992655070e-04,1.131728639118608e+01,8.205469903438678e-01,8.917734724055419e-01
9.531071992655070e-04,1.143728639118608e+01,8.357508242955357e-01,9.074403813795439e-01
9.631071992655070e-04,1.155728639118608e+01,8.510527162146158e-01,9.232009431699634e-01
9.731071992655071e-04,1.167728639118608e+01,8.664517332929627e-01,9.390542668740797e-01
9.831071992655071e-04,1.179728639118608e+01,8.819469515960703e-01,9.549994700641719e-01
9.931071992655071e-04,1.191728639118609e+01,8.975374559786594e-01,9.710356787068994e-01
1.000000000000000e-03,1.200000000000000e+01,9.083387085291716e-01,9.821416742231210e-01
1.001000000000000e-03,1.200000000000000e+01,9.099074849135500e-01,9.836399749793366e-01
1.003000000000000e-03,1.200000000000000e+01,9.130420415831636e-01,9.866337149892258e-01
1.007000000000000e-03,1.200000000000000e+01,9.192932126270530e-01,9.926040587524029e-01
1.015000000000000e-03,1.200000000000000e+01,9.317241272223041e-01,1.004476527591164e+00
1.025000000000000e-03,1.200000000000000e+01,9.471297357316195e-01,1.019190055350326e+00
1.035000000000000e-03,1.200000000000000e+01,9.623887934049535e-01,1.033763615915591e+00
1.045000000000000e-03,1.200000000000000e+01,9.775026943545554e-01,1.048198540770180e+00
1.055000000000000e-03,1.200000000000000e+01,9.924728194307302e-01,1.062496148731154e+00
1.065000000000000e-03,1.200000000000000e+01,1.007300536347998e+00,1.076657746069895e+00
1.075000000000000e-03,1.200000000000000e+01,1.021987199810051e+00,1.090684626631460e+00
1.085000000000000e-03,1.200000000000000e+01,1.036534151633526e+00,1.104578071952784e+00
1.095000000000000e-03,1.200000000000000e+01,1.050942720870592e+00,1.118339351379766e+00
1.105000000000000e-03,1.200000000000000e+01,1.065214223930383e+00,1.131969722183245e+00
