time,V(isense_adc),V(isense_raw),V(shunt_node)
0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00
4.999999719812465e-11,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00
9.999999439624929e-11,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00
1.999999887924986e-10,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00
3.999999775849972e-10,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00
7.999999551699943e-10,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00
1.599999910339989e-09,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00
3.199999820679977e-09,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00
6.399999641359955e-09,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00
1.279999928271991e-08,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00
2.559999856543982e-08,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00
5.119999713087964e-08,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00
1.023999942617593e-07,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00
2.047999885235186e-07,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00
4.095999770470371e-07,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00
8.191999540940742e-07,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00
1.638399908188148e-06,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00
3.276799816376297e-06,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00
6.553599632752594e-06,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00
1.155359963275259e-05,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00
1.655359963275259e-05,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00
2.155359963275259e-05,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00
2.655359963275259e-05,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00
3.155359963275259e-05,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00
3.655359963275259e-05,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00
4.155359963275259e-05,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00
4.655359963275259e-05,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00
5.155359963275259e-05,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00
5.655359963275259e-05,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00
6.155359963275259e-05,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00
6.655359963275259e-05,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00
7.155359963275259e-05,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00
7.655359963275259e-05,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00
8.155359963275259e-05,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00
8.655359963275259e-05,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00
9.155359963275259e-05,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00
9.655359963275259e-05,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00
1.015535996327526e-04,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00
1.065535996327526e-04,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00
1.115535996327526e-04,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00
1.165535996327526e-04,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00
1.215535996327526e-04,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00
1.265535996327526e-04,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00
1.315535996327526e-04,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00
1.365535996327526e-04,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00
1.415535996327526e-04,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00
1.465535996327526e-04,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00
1.515535996327526e-04,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00
1.565535996327527e-04,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00
1.615535996327527e-04,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00
1.665535996327527e-04,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00
1.715535996327527e-04,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00
1.765535996327527e-04,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00
1.815535996327527e-04,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00
1.865535996327527e-04,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00
1.915535996327528e-04,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00
1.965535996327528e-04,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00
2.015535996327528e-04,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00
2.065535996327528e-04,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00
2.115535996327528e-04,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00
2.165535996327528e-04,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00
2.215535996327528e-04,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00
2.265535996327528e-04,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00
2.315535996327529e-04,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00
2.365535996327529e-04,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00
2.415535996327529e-04,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00
2.465535996327529e-04,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00
2.515535996327529e-04,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00
2.565535996327529e-04,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00
2.615535996327529e-04,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00
