time,V(sw),I(Rmotor),I(Dfly)
3.760560084117953e-08,5.106753098376015e+00,2.487258524974667e-05,-1.228061819347026e-01
4.030498924765557e-08,6.411136811509685e-01,4.951024249399971e-05,-8.658538236662183e-02
4.243675384013233e-08,-2.207261209642818e-01,7.464207794305455e-05,4.102329751318134e-02
4.472640729638387e-08,1.272424371863690e-01,1.022213537779093e-04,-2.403612147357126e-02
4.754874486409037e-08,-7.273315067076928e-02,1.360073029920139e-04,1.608812407198484e-02
5.000000000000000e-08,4.625903130791525e-02,1.654487806346250e-04,-1.064511512543109e-02
5.457079599188833e-08,-3.554208277060791e-02,2.202598161248348e-04,8.635755918424415e-03
6.004637263967198e-08,3.217313009074764e-02,2.859537147374969e-04,-7.247793653298862e-03
6.908781997294485e-08,-2.594162579821649e-02,3.943737559725102e-04,6.526164814705665e-03
8.387811945473176e-08,2.852973797659553e-02,5.717238348418308e-04,-6.112830600502120e-03
1.065605707718925e-07,-2.126440744655963e-02,8.435740628831567e-04,5.866318384065497e-03
1.462399313713139e-07,3.005519038467710e-02,1.318865448190043e-03,-5.721192125857505e-03
2.100872758135513e-07,-1.508274651111078e-02,2.082818022777655e-03,5.641748342704728e-03
3.183158350845065e-07,3.831349838211880e-02,3.375577215149805e-03,-5.586416544409722e-03
5.004677742497826e-07,-7.544061332072959e-05,5.544918024136480e-03,5.562676521264436e-03
8.040611988012620e-07,6.302773548612976e-02,9.142808040708772e-03,-5.539388159790104e-03
1.411248047904220e-06,4.595668041396424e-02,1.627250073494513e-02,5.536159011138853e-03
2.411248047904221e-06,1.451526718051791e-01,2.782415051648768e-02,-5.525054016424225e-03
3.411248047904220e-06,1.463508771202099e-01,3.914263082561487e-02,5.525124009215232e-03
4.411248047904220e-06,2.468831311348748e-01,5.023097997037917e-02,-5.513825959657104e-03
5.411248047904220e-06,2.461214606118009e-01,6.109382341201208e-02,5.513676851364724e-03
6.411248047904220e-06,3.481386848504484e-01,7.173400403355323e-02,-5.502167656218360e-03
7.411248047904219e-06,3.453464990008956e-01,8.215606379005447e-02,5.501789764388310e-03
8.411248047904219e-06,4.490128432617603e-01,9.236264690702967e-02,-5.490049291206889e-03
9.411248047904220e-06,4.441087766442601e-01,1.023582216333045e-01,5.489431618815876e-03
1.041124804790422e-05,5.496077935036053e-01,1.121452282354741e-01,-5.477437258551987e-03
1.141124804790422e-05,5.424988456496096e-01,1.217280714356715e-01,5.476567355822137e-03
1.241124804790422e-05,6.500372374712288e-01,1.311089803040441e-01,-5.464293548638199e-03
1.341124804790422e-05,6.406165787422321e-01,1.402923072572994e-01,5.463157235405802e-03
1.441124804790422e-05,7.504289221637315e-01,1.492800605247984e-01,-5.450574872745140e-03
1.541124804790422e-05,7.385731178430388e-01,1.580765527910819e-01,5.449155887287116e-03
1.641124804790422e-05,8.509278975852493e-01,1.666835587608385e-01,-5.436231548221482e-03
1.741124804790422e-05,8.364933483509964e-01,1.751053657271978e-01,5.434511097006656e-03
1.841124804790422e-05,9.517007743154521e-01,1.833434982823470e-01,-5.421206058850991e-03
1.941124804790423e-05,9.345190822100268e-01,1.914022350031832e-01,5.419162230377861e-03
